"    Function<Integer, Flowable<Integer>> toJust = new Function<Integer, Flowable<Integer>>() {
        @Override
        public Flowable<Integer> apply(Integer t) {
            return Flowable.just(t);
        }
    };
    };","NM_METHOD_NAMING_CONVENTION"
"    public void ObservableCapacityHint() {
        Flowable<Integer> source = Flowable.just(1);
        TestSubscriber<Integer> ts = TestSubscriber.create();

        Flowable.concatEager(Flowable.just(source, source, source), 1, 1).subscribe(ts);

        ts.assertValues(1, 1, 1);
        ts.assertNoErrors();
        ts.assertComplete();
    }
    }","NM_METHOD_NAMING_CONVENTION"
"        public Integer next() {
            return count++;
        }
        }","IT_NO_SUCH_ELEMENT"
"        public Integer next() {
            return count++;
        }
        }","IT_NO_SUCH_ELEMENT"
"        .concatMapEager(new Function<Integer, ObservableSource<Integer>>() {
            @Override
            public ObservableSource<Integer> apply(Integer t) {
                return Observable.range(t, 2);
            }
        })
        })","NM_METHOD_NAMING_CONVENTION"
"    public void ObservableCapacityHint() {
        Observable<Integer> source = Observable.just(1);
        TestObserver<Integer> to = TestObserver.create();

        Observable.concatEager(Observable.just(source, source, source), 1, 1).subscribe(to);

        to.assertValues(1, 1, 1);
        to.assertNoErrors();
        to.assertComplete();
    }
    }","NM_METHOD_NAMING_CONVENTION"
"        public Integer next() {
            return count++;
        }
        }","IT_NO_SUCH_ELEMENT"
"    @Override protected Scheduler getScheduler() {
        return Schedulers.single();
    }
    }","IL_INFINITE_RECURSIVE_LOOP"
"    static List<String> readAllLines(File f) {
        List<String> result = new ArrayList<String>();
        try {
            BufferedReader in = new BufferedReader(new FileReader(f));
            try {
                String line;

                while ((line = in.readLine()) != null) {
                    result.add(line);
                }
            } finally 
            {
                in.close();
            }
        } catch 
        (IOException ex) {
            ex.printStackTrace();
        }
        return result;
    }
    }","DM_DEFAULT_ENCODING"
"    static void list(String basepath, String basepackage) throws Exception {
        File[] observables = new File(basepath + ""observable/"").listFiles();

        int count = 0;

        for (File f : observables) {
            if (!f.getName().endsWith("".java"")) {
                continue;
            }
            Class<?> clazz = Class.forName(basepackage + ""observable."" + f.getName().replace("".java"", """"));

            String cn = f.getName().replace("".java"", """").replace(""Observable"", ""Flowable"");

            File f2 = new File(basepath + ""/flowable/"" + cn + "".java"");

            if (!f2.exists()) {
                continue;
            }

            Class<?> clazz2 = Class.forName(basepackage + ""flowable."" + cn);

            Set<String> methods2 = new HashSet<String>();

            for (Method m : clazz2.getMethods()) {
                methods2.add(m.getName());
            }

            for (Method m : clazz.getMethods()) {
                if (!methods2.contains(m.getName()) && !methods2.contains(m.getName().replace(""Observable"", ""Flowable""))) {
                    count++;
                    System.out.println();
                    System.out.print(""java.lang.RuntimeException: missing > "");
                    System.out.println(m.getName());
                    System.out.print("" at "");
                    System.out.print(clazz.getName());
                    System.out.print("" ("");
                    System.out.print(clazz.getSimpleName());
                    System.out.print("".java:"");

                    List<String> lines = readAllLines(f);

                    int j = 1;
                    for (int i = 1; i <= lines.size(); i++) {
                        if (lines.get(i - 1).contains(""public void "" + m.getName() + ""("")) {
                            j = i;
                        }
                    }
                    System.out.print(j);
                    System.out.println("")"");

                    System.out.print("" at "");
                    System.out.print(clazz2.getName());
                    System.out.print("" ("");
                    System.out.print(clazz2.getSimpleName());

                    lines = readAllLines(f2);

                    System.out.print("".java:"");
                    System.out.print(lines.size() - 1);
                    System.out.println("")"");
                }
            }
        }

        System.out.println();
        System.out.println(count);
    }
    }","NP_NULL_ON_SOME_PATH_FROM_RETURN_VALUE"
